subject,body,label
Customer impact alert: checkout outage,A high-priority request came in from Northwind Health regarding checkout outage. Leadership expects an update by noon. Reference ID EMAIL-01961.,important
Immediate review needed for payment failure,We need a decision on the payment failure by noon. Attach the latest evidence and confirm the accountable owner. Reference ID EMAIL-04480.,important
Immediate review needed for production database backup failure,A high-priority request came in from BluePeak Bank regarding production database backup failure. Leadership expects an update within 24 hours. Reference ID EMAIL-03293.,important
team lunch menu from Sales,The latest information for team lunch menu is now available. Save it for reference whenever convenient. Reference ID EMAIL-02926.,normal
book club reminder available,The sales team published details for book club reminder. No action is required unless you want to participate. Reference ID EMAIL-00945.,normal
Action required: data pipeline failure,We need a decision on the data pipeline failure before payroll closes. Attach the latest evidence and confirm the accountable owner. Reference ID EMAIL-04101.,important
Hr escalation: production database backup failure,"A control check flagged production database backup failure. Send acknowledgement, risk notes, and resolution plan before payroll closes. Reference ID EMAIL-04815.",important
software tip of the week available,This is a routine note about software tip of the week. You can read it during office hours. Reference ID EMAIL-01461.,normal
optional wellness webinar available,The sales team published details for optional wellness webinar. No action is required unless you want to participate. Reference ID EMAIL-01429.,normal
new coffee machine from Engineering,Please see the attached information about new coffee machine. It is informational and can be reviewed next week. Reference ID EMAIL-00365.,normal
optional wellness webinar available,The support team published details for optional wellness webinar. No action is required unless you want to participate. Reference ID EMAIL-01636.,normal
FYI: book club reminder,The legal team published details for book club reminder. No action is required unless you want to participate. Reference ID EMAIL-01081.,normal
weekly newsletter available,Sharing a general update about weekly newsletter. Review it by the end of the month if it is useful for your work. Reference ID EMAIL-01309.,normal
Production risk: compliance audit request,We need a decision on the compliance audit request before payroll closes. Attach the latest evidence and confirm the accountable owner. Reference ID EMAIL-04695.,important
Urgent: vendor service suspension for BluePeak Bank,A high-priority request came in from BluePeak Bank regarding vendor service suspension. Leadership expects an update by noon. Reference ID EMAIL-03219.,important
Engineering escalation: release rollback decision,The current release rollback decision can delay operations and trigger escalation. Please join the response thread before payroll closes. Reference ID EMAIL-02470.,important
Deadline before 10 AM: payroll approval deadline,We need a decision on the payroll approval deadline before 10 AM. Attach the latest evidence and confirm the accountable owner. Reference ID EMAIL-02426.,important
Action required: checkout outage,"The operations team found a checkout outage. This may affect customers, revenue, access, or compliance unless handled before payroll closes. Reference ID EMAIL-03950.",important
Reminder: recipe exchange,This is a routine note about recipe exchange. You can read it during office hours. Reference ID EMAIL-04074.,normal
Deadline before end of day: cloud access removal,"The operations team found a cloud access removal. This may affect customers, revenue, access, or compliance unless handled before end of day. Reference ID EMAIL-02069.",important
team lunch menu available,A friendly reminder about team lunch menu. Participation is optional and there is no operational impact. Reference ID EMAIL-00016.,normal
Action required: payroll approval deadline,A high-priority request came in from Nimbus Travel regarding payroll approval deadline. Leadership expects an update before payroll closes. Reference ID EMAIL-00438.,important
Customer impact alert: payroll approval deadline,We need a decision on the payroll approval deadline before 10 AM. Attach the latest evidence and confirm the accountable owner. Reference ID EMAIL-03164.,important
Engineering escalation: executive client escalation,A high-priority request came in from Summit Energy regarding executive client escalation. Leadership expects an update before end of day. Reference ID EMAIL-03638.,important
Production risk: SLA breach warning,"Northwind Health is blocked because of a SLA breach warning. Please respond before 10 AM with owner, status, and next action. Reference ID EMAIL-02055.",important
Shared update: new hire introductions,This is a routine note about new hire introductions. You can read it by the end of the month. Reference ID EMAIL-01463.,normal
Action required: payment failure,"Nimbus Travel is blocked because of a payment failure. Please respond before payroll closes with owner, status, and next action. Reference ID EMAIL-02540.",important
FYI: parking notice,Please see the attached information about parking notice. It is informational and can be reviewed on Friday. Reference ID EMAIL-04561.,normal
Legal escalation: incident bridge request,A high-priority request came in from Vertex Logistics regarding incident bridge request. Leadership expects an update before the release window. Reference ID EMAIL-02620.,important
Deadline before payroll closes: customer account lockout,"Nimbus Travel is blocked because of a customer account lockout. Please respond before payroll closes with owner, status, and next action. Reference ID EMAIL-00228.",important
Reminder: new hire introductions,Please see the attached information about new hire introductions. It is informational and can be reviewed during office hours. Reference ID EMAIL-01689.,normal
Shared update: software tip of the week,The legal team published details for software tip of the week. No action is required unless you want to participate. Reference ID EMAIL-00634.,normal
New note about conference room rename,Please see the attached information about conference room rename. It is informational and can be reviewed next week. Reference ID EMAIL-02518.,normal
Optional: optional wellness webinar,This is a routine note about optional wellness webinar. You can read it after the all-hands. Reference ID EMAIL-00812.,normal
Deadline before end of day: release rollback decision,"A control check flagged release rollback decision. Send acknowledgement, risk notes, and resolution plan before end of day. Reference ID EMAIL-01320.",important
training catalog update from Facilities,The facilities team published details for training catalog update. No action is required unless you want to participate. Reference ID EMAIL-04247.,normal
Urgent: failed login spike for Nimbus Travel,A high-priority request came in from Nimbus Travel regarding failed login spike. Leadership expects an update before the client call. Reference ID EMAIL-01818.,important
